Code CIQUAL,Groupe d'aliment,Sous-groupe d'aliment,Nom du Produit en Français,code saison,code avion,Livraison,Approche emballage ,Préparation,DQR,Score unique EF,Changement climatique,Appauvrissement de la couche d'ozone,Rayonnements ionisants,Formation photochimique d'ozone,Particules fines,Effets toxicologiques sur la santé humaine : substances non-cancérogènes,Effets toxicologiques sur la santé humaine : substances cancérogènes,Acidification terrestre et eaux douces,Eutrophisation eaux douces,Eutrophisation marine,Eutrophisation terrestre,Écotoxicité pour écosystèmes aquatiques d'eau douce,Utilisation du sol,Épuisement des ressources eau,Épuisement des ressources énergétiques,Épuisement des ressources minéraux,Changement climatique - émissions biogéniques,Changement climatique - émissions fossiles,Changement climatique - émissions liées au changement d'affectation des sols,Sous-sous-groupe d'aliment,Energie (kcal/100 g),Protéines (g/100 g),Glucides (g/100 g),Lipides (g/100 g),Fibres alimentaires (g/100 g)
13742,"fruits, légumes, légumineuses et oléagineux",fruits,"Melon miel ou melon honeydew, pulpe, cru",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,2.59,0.104,0.979,3.16e-08,0.142,0.00314,4.68e-08,2.35e-08,1.11e-09,0.0038,0.000226,0.0046,0.0123,7.92,43.1,1.43,13.6,5.54e-06,0.195,0.783,0.000581,fruits crus,,0.58,4.3,0.17,0.75
13029,"fruits, légumes, légumineuses et oléagineux",fruits,"Mûre (de ronce), crue",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,4.13,0.275,0.972,2.83e-08,0.0626,0.00704,2.18e-07,4.72e-08,5.27e-09,0.0305,0.000274,0.0125,0.134,117.0,111.0,5.04,9.68,5.56e-06,0.0217,0.949,0.001,fruits crus,47.3,1.13,6.53,0.7,5.2
13150,"fruits, légumes, légumineuses et oléagineux",fruits,"Mûre (de ronce), surgelée, crue",2,0,Congelé,PACK AGB,Pas de préparation,3.03,0.328,1.24,3.59e-08,0.773,0.00776,2.29e-07,5.37e-08,5.43e-09,0.0316,0.000346,0.0128,0.136,118.0,113.0,5.14,26.9,1.12e-05,0.0224,1.21,0.00172,fruits crus,,1.22,10.7,0.42,5.0
13071,"fruits, légumes, légumineuses et oléagineux",fruits,"Mûre noire (du mûrier), crue",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,4.1,0.336,1.25,3.45e-08,0.076,0.00861,2.64e-07,5.8e-08,6.41e-09,0.037,0.000344,0.0153,0.162,142.0,134.0,6.11,11.8,6.75e-06,0.0853,1.16,0.00122,fruits crus,,1.44,8.1,0.39,1.7
13028,"fruits, légumes, légumineuses et oléagineux",fruits,"Myrtille, crue",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,3.49,0.276,0.922,2.17e-07,0.0698,0.00468,1.31e-07,1.11e-07,1.85e-09,0.0175,0.000471,0.0264,0.0643,222.0,210.0,0.355,9.91,1.2e-05,0.0173,0.903,0.000942,fruits crus,57.7,0.87,10.6,0.33,2.4
13132,"fruits, légumes, légumineuses et oléagineux",fruits,"Myrtille, surgelée, crue",2,0,Congelé,PACK AGB,Pas de préparation,3.01,0.329,1.19,2.25e-07,0.781,0.00541,1.43e-07,1.17e-07,2.02e-09,0.0186,0.000543,0.0266,0.0663,223.0,212.0,0.456,27.2,1.77e-05,0.0179,1.17,0.00166,fruits crus,,0.68,8.9,0.43,2.81
13030,"fruits, légumes, légumineuses et oléagineux",fruits,"Nectarine ou brugnon, pulpe et peau, crue",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,3.39,0.108,0.614,2.19e-08,0.118,0.00187,2.62e-08,2.07e-08,4.74e-10,0.00189,0.000102,0.0129,0.00623,20.5,206.0,1.76,8.09,3.77e-06,0.0765,0.537,0.000216,fruits crus,,1.16,8.9,0.31,1.7
13034,"fruits, légumes, légumineuses et oléagineux",fruits,"Orange, pulpe, crue",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,3.1,0.149,0.678,2.44e-08,0.0576,0.00329,4.9e-08,2.84e-08,5.09e-10,0.00583,0.000102,0.00161,0.0223,12.7,26.0,10.5,7.94,2.8e-06,0.0768,0.607,-0.00588,fruits crus,45.5,0.75,8.03,,2.7
13614,"fruits, légumes, légumineuses et oléagineux",fruits,"Pamplemousse chinois, pulpe, cru",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,4.16,0.552,0.793,3.86e-08,0.0653,0.00302,4.35e-08,4.62e-08,4.86e-10,0.00482,0.000198,0.00435,0.014,276.0,43.3,49.2,9.03,1.66e-05,0.0769,0.716,0.00041,fruits crus,,0.76,8.62,0.04,1.0
13035,"fruits, légumes, légumineuses et oléagineux",fruits,"Papaye, pulpe, crue",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,2.67,0.102,0.926,2.6e-08,0.067,0.00586,5.13e-08,1.72e-08,4.39e-10,0.0071,0.000112,0.00377,0.0214,10.0,14.5,1.87,11.1,4.22e-06,0.0767,0.835,0.0144,fruits crus,42.2,0.75,8.53,,1.8
